t_s,phase,battery_v,drivetrain_a,intake_arms_a,intake_spinner_a,shooting_a
9.750,teleop,12.153,-0.0,0.0,0.0,0.0
9.800,teleop,12.159,-0.0,0.0,0.0,0.0
9.850,teleop,12.146,-0.0,0.0,0.0,0.0
9.902,teleop,12.146,-0.0,0.0,0.0,0.0
9.950,teleop,12.153,-0.0,0.0,0.0,0.0
10.000,teleop,12.159,-0.0,0.0,0.0,0.0
10.050,teleop,12.172,-0.0,0.0,0.0,0.0
10.100,teleop,12.172,-0.0,0.0,0.0,0.0
10.150,teleop,12.159,-0.0,0.0,0.0,0.0
10.200,teleop,12.146,-0.0,0.0,0.0,0.0
10.250,teleop,12.153,-0.0,0.0,0.0,0.0
10.301,teleop,12.153,0.0,0.0,0.0,0.0
10.350,teleop,12.153,0.0,0.0,0.0,0.0
10.400,teleop,12.165,0.0,0.0,0.0,0.0
10.450,teleop,12.165,0.0,0.0,0.0,0.0
10.500,teleop,12.153,0.0,0.0,0.0,0.0
10.550,teleop,12.159,-0.0,0.0,0.0,0.0
10.600,teleop,12.153,-0.0,0.0,0.0,0.0
10.650,teleop,12.146,-0.0,0.0,0.0,0.0
10.700,teleop,12.159,-0.0,0.0,0.0,0.0
10.750,teleop,12.146,-0.0,0.0,0.0,0.0
10.800,teleop,12.146,-0.0,0.0,0.0,0.0
10.850,teleop,12.159,-0.0,0.0,0.0,0.0
10.900,teleop,12.172,-0.0,0.0,0.0,0.0
10.951,teleop,12.146,-0.0,0.0,0.0,0.0
11.000,teleop,12.146,-0.0,0.0,0.0,0.0
11.050,teleop,12.159,-0.0,0.0,0.0,0.0
11.100,teleop,12.146,-0.0,0.0,0.0,0.0
11.150,teleop,12.146,-0.0,0.0,0.0,0.0
11.200,teleop,12.159,-0.0,0.0,0.0,0.0
11.250,teleop,12.165,-0.0,0.0,0.0,0.0
11.300,teleop,12.178,-0.0,0.0,0.0,0.0
11.350,teleop,12.159,-0.0,0.0,0.0,0.0
11.400,teleop,12.153,-0.0,0.0,0.0,0.0
11.450,teleop,12.146,-0.0,0.0,0.0,0.0
11.500,teleop,12.159,-0.0,0.0,0.0,0.0
11.553,teleop,12.159,-0.0,0.0,0.0,0.0
11.600,teleop,12.165,-0.0,0.0,0.0,0.0
11.650,teleop,12.165,-0.0,0.0,0.0,0.0
11.700,teleop,12.165,-0.0,0.0,0.0,0.0
11.750,teleop,12.153,-0.0,0.0,0.0,0.0
11.800,teleop,12.153,0.0,0.0,0.0,0.0
11.850,teleop,12.146,0.0,0.0,0.0,0.0
11.900,teleop,12.159,0.0,0.0,0.0,0.0
11.950,teleop,12.146,0.0,0.0,0.0,0.0
12.000,teleop,12.153,0.0,0.0,0.0,0.0
12.050,teleop,12.146,1.9,0.0,0.0,0.0
12.100,teleop,12.134,1.9,0.0,0.0,0.0
12.152,teleop,12.146,1.9,0.0,0.0,0.0
12.200,teleop,12.140,1.9,0.0,0.0,0.0
12.250,teleop,12.146,1.9,0.0,0.0,0.0
12.300,teleop,12.134,0.2,0.0,0.0,0.0
12.350,teleop,12.140,0.2,0.0,0.0,0.0
12.400,teleop,12.140,0.2,0.0,0.0,0.0
12.450,teleop,12.146,0.2,0.0,0.0,0.0
12.500,teleop,12.140,0.2,0.0,0.0,0.0
12.550,teleop,12.134,0.3,0.0,0.0,0.0
12.600,teleop,12.128,0.3,0.0,0.0,0.0
12.650,teleop,12.134,0.3,0.0,0.0,0.0
12.700,teleop,12.115,0.3,0.0,0.0,0.0
12.750,teleop,12.121,0.3,0.0,0.0,0.0
12.800,teleop,12.134,0.4,0.0,0.0,0.0
12.850,teleop,12.134,0.4,0.0,0.0,0.0
12.900,teleop,12.121,0.4,0.0,0.0,0.0
12.950,teleop,12.134,0.4,0.0,0.0,0.0
13.000,teleop,12.115,0.4,0.0,0.0,0.0
13.050,teleop,12.102,1.4,0.0,0.0,0.0
13.100,teleop,12.115,1.4,0.0,0.0,0.0
13.152,teleop,12.109,1.4,0.0,0.0,0.0
13.200,teleop,12.115,1.4,0.0,0.0,0.0
13.250,teleop,12.121,1.4,0.0,0.0,0.0
13.300,teleop,12.115,0.4,0.0,0.0,0.0
13.350,teleop,12.121,0.4,0.0,0.0,0.0
13.400,teleop,12.121,0.4,0.0,0.0,0.0
13.450,teleop,12.109,0.4,0.0,0.0,0.0
13.500,teleop,12.102,0.4,0.0,0.0,0.0
13.550,teleop,12.096,0.4,0.0,0.0,0.0
13.600,teleop,12.109,0.4,0.0,0.0,0.0
13.653,teleop,12.109,0.4,0.0,0.0,0.0
13.701,teleop,12.128,0.4,0.0,0.0,0.0
13.750,teleop,12.109,0.4,0.0,0.0,0.0
13.800,teleop,12.109,0.2,0.0,0.0,0.0
13.850,teleop,12.109,0.2,0.0,0.0,0.0
13.900,teleop,12.102,0.2,0.0,0.0,0.0
13.950,teleop,12.115,0.2,0.0,0.0,0.0
14.000,teleop,12.121,0.2,0.0,0.0,0.0
14.050,teleop,12.115,0.4,0.0,0.0,0.0
14.100,teleop,12.115,0.4,0.0,0.0,0.0
14.150,teleop,12.128,0.4,0.0,0.0,0.0
14.200,teleop,12.102,0.4,0.0,0.0,0.0
14.250,teleop,12.115,0.4,0.0,0.0,0.0
14.300,teleop,12.090,0.5,0.0,0.0,0.0
14.351,teleop,12.115,0.5,0.0,0.0,0.0
14.401,teleop,12.109,0.5,0.0,0.0,0.0
14.450,teleop,12.128,0.5,0.0,0.0,0.0
14.500,teleop,12.134,0.5,0.0,0.0,0.0
14.550,teleop,12.134,0.4,0.0,0.0,0.0
14.600,teleop,12.096,0.4,0.0,0.0,0.0
14.650,teleop,12.121,0.4,0.0,0.0,0.0
14.700,teleop,12.109,0.4,0.0,0.0,0.0
14.750,teleop,12.102,0.4,0.0,0.0,0.0
14.800,teleop,12.109,0.3,0.0,0.0,0.0
14.850,teleop,12.115,0.3,0.0,0.0,0.0
14.900,teleop,12.128,0.3,0.0,0.0,0.0
14.950,teleop,12.115,0.3,0.0,0.0,0.0
15.000,teleop,12.109,0.3,0.0,0.0,0.0
15.050,teleop,12.109,0.1,0.0,0.0,0.0
15.100,teleop,12.102,0.1,0.0,0.0,0.0
15.150,teleop,12.115,0.1,0.0,0.0,0.0
15.200,teleop,12.121,0.1,0.0,0.0,0.0
15.250,teleop,12.128,0.1,0.0,0.0,0.0
15.300,teleop,12.134,0.2,0.0,0.0,0.0
15.352,teleop,12.109,0.2,0.0,0.0,0.0
15.401,teleop,12.109,0.2,0.0,0.0,0.0
15.450,teleop,12.071,0.2,0.0,0.0,0.0
15.500,teleop,12.121,0.2,0.0,0.0,0.0
15.550,teleop,12.128,0.0,0.0,0.0,0.0
15.600,teleop,12.140,0.0,0.0,0.0,0.0
15.650,teleop,12.146,0.0,0.0,0.0,0.0
15.700,teleop,12.153,0.0,0.0,0.0,0.0
15.750,teleop,12.134,0.0,0.0,0.0,0.0
15.800,teleop,12.134,-0.0,0.0,0.0,0.0
15.850,teleop,12.146,-0.0,0.0,0.0,0.0
15.900,teleop,12.140,-0.0,0.0,0.0,0.0
15.951,teleop,12.128,-0.0,0.0,0.0,0.0
16.000,teleop,12.146,-0.0,0.0,0.0,0.0
16.051,teleop,12.146,-0.0,0.0,0.0,0.0
16.100,teleop,12.146,-0.0,0.0,0.0,0.0
16.150,teleop,12.146,-0.0,0.0,0.0,0.0
16.200,teleop,12.146,-0.0,0.0,0.0,0.0
16.250,teleop,12.140,-0.0,0.0,0.0,0.0
16.300,teleop,12.134,-0.0,0.0,0.0,0.0
16.350,teleop,12.140,-0.0,0.0,0.0,0.0
16.400,teleop,12.146,-0.0,0.0,0.0,0.0
16.450,teleop,11.443,-0.0,0.0,0.0,0.0
16.501,teleop,11.512,-0.0,0.0,0.0,0.0
16.550,teleop,12.090,-0.0,0.0,0.0,0.0
16.600,teleop,12.102,-0.0,0.0,0.0,0.0
16.650,teleop,12.102,-0.0,0.0,0.0,0.0
16.700,teleop,12.115,-0.0,0.0,0.0,0.0
16.750,teleop,12.128,-0.0,0.0,0.0,0.0
16.800,teleop,12.128,-0.0,0.0,0.0,0.0
16.850,teleop,12.128,-0.0,0.0,0.0,0.0
16.900,teleop,12.153,-0.0,0.0,0.0,0.0
16.950,teleop,12.134,-0.0,0.0,0.0,0.0
17.000,teleop,12.128,-0.0,0.0,0.0,0.0
17.052,teleop,12.134,0.0,0.0,0.0,0.0
17.100,teleop,12.128,-0.0,0.0,0.0,0.0
17.151,teleop,12.128,-0.0,0.0,0.0,0.0
17.200,teleop,12.146,-0.0,0.0,0.0,0.0
17.250,teleop,12.140,-0.0,0.0,0.0,0.0
17.300,teleop,12.146,0.0,0.0,0.0,0.0
17.350,teleop,12.146,0.0,0.0,0.0,0.0
17.400,teleop,12.140,0.0,0.0,0.0,0.0
17.450,teleop,12.128,0.0,0.0,0.0,0.0
17.500,teleop,12.128,0.0,0.0,0.0,0.0
17.550,teleop,12.134,-0.0,0.0,0.0,0.0
17.600,teleop,12.134,-0.0,0.0,0.0,0.0
17.650,teleop,12.140,-0.0,0.0,0.0,0.0
17.700,teleop,12.146,-0.0,0.0,0.0,0.0
17.750,teleop,12.140,-0.0,0.0,0.0,0.0
17.800,teleop,12.134,-0.0,0.0,0.0,0.0
17.851,teleop,12.134,-0.0,0.0,0.0,0.0
17.902,teleop,12.121,-0.0,0.0,0.0,0.0
17.951,teleop,12.128,-0.0,0.0,0.0,0.0
18.000,teleop,12.153,-0.0,0.0,0.0,0.0
18.050,teleop,12.153,0.0,0.0,0.0,0.0
18.100,teleop,12.146,0.0,0.0,0.0,0.0
18.150,teleop,12.146,0.0,0.0,0.0,0.0
18.200,teleop,12.140,0.0,0.0,0.0,0.0
18.250,teleop,12.146,0.0,0.0,0.0,0.0
18.300,teleop,12.146,-0.0,0.0,0.0,0.0
18.350,teleop,12.140,-0.0,0.0,0.0,0.0
18.400,teleop,12.153,-0.0,0.0,0.0,0.0
18.450,teleop,12.146,-0.0,0.0,0.0,0.0
18.500,teleop,12.146,-0.0,0.0,0.0,0.0
18.550,teleop,12.140,0.0,0.0,0.0,0.0
18.600,teleop,12.140,0.0,0.0,0.0,0.0
18.650,teleop,12.140,0.0,0.0,0.0,0.0
18.703,teleop,12.140,0.0,0.0,0.0,0.0
18.751,teleop,12.140,0.0,0.0,0.0,0.0
18.800,teleop,12.153,0.0,0.0,0.0,0.0
18.850,teleop,12.153,0.0,0.0,0.0,0.0
18.901,teleop,12.153,0.0,0.0,0.0,0.0
18.951,teleop,12.146,0.0,0.0,0.0,0.0
19.000,teleop,12.165,0.0,0.0,0.0,0.0
19.050,teleop,12.140,-0.0,0.0,0.0,0.0
19.100,teleop,12.146,-0.0,0.0,0.0,0.0
19.150,teleop,12.153,-0.0,0.0,0.0,0.0
19.200,teleop,12.153,-0.0,0.0,0.0,0.0
19.250,teleop,12.153,-0.0,0.0,0.0,0.0
19.300,teleop,12.153,0.0,0.0,0.0,0.0
19.350,teleop,12.159,0.0,0.0,0.0,0.0
19.400,teleop,12.140,0.0,0.0,0.0,0.0
19.450,teleop,12.121,0.0,0.0,0.0,0.0
19.500,teleop,12.128,0.0,0.0,0.0,0.0
19.552,teleop,12.128,0.3,0.0,0.0,0.0
19.600,teleop,12.115,0.3,0.0,0.0,0.0
19.650,teleop,12.128,0.3,0.0,0.0,0.0
19.700,teleop,12.134,0.3,0.0,0.0,0.0
19.750,teleop,12.128,0.3,0.0,0.0,0.0
19.800,teleop,12.109,1.3,0.0,0.0,0.0
19.850,teleop,12.096,1.7,0.0,0.0,0.0
19.900,teleop,12.102,1.7,0.0,0.0,0.0
19.950,teleop,12.077,1.7,0.0,0.0,0.0
20.000,teleop,12.090,1.7,0.0,0.0,0.0
20.050,teleop,12.084,2.0,0.0,0.0,0.0
20.100,teleop,12.096,2.0,0.0,0.0,0.0
20.150,teleop,12.090,2.0,0.0,0.0,0.0
20.200,teleop,12.071,2.0,0.0,0.0,0.0
20.250,teleop,12.090,2.0,0.0,0.0,0.0
20.304,teleop,12.084,0.6,0.0,0.0,0.0
20.350,teleop,12.065,0.6,0.0,0.0,0.0
20.400,teleop,12.090,0.6,0.0,0.0,0.0
20.452,teleop,12.084,0.6,0.0,0.0,0.0
20.500,teleop,12.096,0.6,0.0,0.0,0.0
20.550,teleop,12.090,0.8,0.0,0.0,0.0
